"CLAVE SITIO","SITIO","ORGANISMO _DE_CUENCA","ESTADO","MUNICIPIO","ACUIFERO","SUBTIPO","LONGITUD","LATITUD","PERIODO","ALC_mg/L","CALIDAD_ALC","CONDUCT_mS/cm","CALIDAD_CONDUC","SDT_mg/L","CALIDAD_SDT_ra","CALIDAD_SDT_salin","FLUORUROS_mg/L","CALIDAD_FLUO","DUR_mg/L","CALIDAD_DUR","COLI_FEC_NMP/100_mL","CALIDAD_COLI_FEC","N_NO3_mg/L","CALIDAD_N_NO3","AS_TOT_mg/L","CALIDAD_AS","CD_TOT_mg/L","CALIDAD_CD","CR_TOT_mg/L","CALIDAD_CR","HG_TOT_mg/L","CALIDAD_HG","PB_TOT_mg/L","CALIDAD_PB","MN_TOT_mg/L","CALIDAD_MN","FE_TOT_mg/L","CALIDAD_FE","SEMÁFORO","CONTAMINANTES"
"BROTE CARMINA 3","CARMINA 3 BROTE","RÍO BRAVO","COAHUILA DE ZARAGOZA","ACUÑA ","PRESA LA AMISTAD","BROTE","-101.07538","29.44255","2012-2024","139.7","Media","884","Permisible para riego","562.4","Cultivos sensibles","Potable - Dulce","0.82","Potable - Óptima","505.8","Muy dura e indeseable usos industrial y domestico","97","Buena calidad","0.591","Potable - Excelente","<0.0015","Potable - Excelente","<0.00130148","Potable - Excelente","<0.0012","Potable - Excelente","<0.000201289","Potable - Excelente","<0.00154","Potable - Excelente","0.032","Potable - Excelente","0.011","Potable - Excelente","AMARILLO","DT, "
"CAZEPA-1","POZO SAN FERNANDO 1","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53551","25.50971","2012-2024","148.645","Media","329","Buena para riego","184.6","Excelente para riego","Potable - Dulce","0.52","Media","132","Potable - Dura","<10","Buena calidad","0.315762","Potable - Excelente","0.011666667","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","0.000115645","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.00425","Potable - Excelente","VERDE",""
"CAZEPA-10","POZO EL HUARACHE","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.49819","25.52886","2012-2024","205.02","Alta","615","Buena para riego","378","Excelente para riego","Potable - Dulce","0.43","Media","230","Potable - Dura","10","Buena calidad","3.182","Potable - Excelente","0.012766667","Apta como FAAP","<0.00130124","Potable - Excelente","0.0023","Potable - Excelente","<0.0002012945","Potable - Excelente","0.00827","Potable - Excelente","0.01315","Potable - Excelente","0.19075","Potable - Excelente","VERDE",""
"CAZEPA-11","POZO LAS AURAS","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.51438","25.54889","2012-2024","229.14","Alta","602","Buena para riego","322","Excelente para riego","Potable - Dulce","0.5","Media","221.7114","Potable - Dura","<10","Buena calidad","3.843","Potable - Excelente","0.012533333","Apta como FAAP","<0.00130124","Potable - Excelente","0.0021","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.001105","Potable - Excelente","0.01655","Potable - Excelente","VERDE",""
"CAZEPA-2","POZO SAN FERNANDO 2","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53953","25.50946","2012-2024","168.4","Alta","379","Buena para riego","239.6","Excelente para riego","Potable - Dulce","0.566","Media","152","Potable - Dura","<10","Buena calidad","0.156885","Potable - Excelente","0.012566667","Apta como FAAP","<0.00130124","Potable - Excelente","0.00175","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.1047","Potable - Excelente","0.0045","Potable - Excelente","VERDE",""
"CAZEPA-25","POZO RAYMUNDO","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.54054","25.51169","2012-2024","170.2","Alta","354","Buena para riego","233.6","Excelente para riego","Potable - Dulce","0.48","Media","159","Potable - Dura","<10","Buena calidad","0.224651","Potable - Excelente","0.013633333","Apta como FAAP","<0.00130124","Potable - Excelente","0.0013","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.02525","Potable - Excelente","0.12755","Potable - Excelente","VERDE",""
"CAZEPA-3","POZO SAN FERNANDO 3","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53687","25.50951","2012-2024","203.4","Alta","637","Buena para riego","384.4","Excelente para riego","Potable - Dulce","0.47","Media","233.6958","Potable - Dura","<10","Buena calidad","1.748","Potable - Excelente","0.023","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","0.000120645","Potable - Excelente","<0.00154","Potable - Excelente","0.00235","Potable - Excelente","0.02925","Potable - Excelente","VERDE",""
"CAZEPA-4","POZO SAN FERNANDO 4","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53752","25.50777","2012-2024","210.49","Alta","663","Buena para riego","387.8","Excelente para riego","Potable - Dulce","0.52","Media","252","Potable - Dura","<10","Buena calidad","1.7973885","Potable - Excelente","0.018566667","Apta como FAAP","<0.00130124","Potable - Excelente","0.0021","Potable - Excelente","0.000140645","Potable - Excelente","<0.00154","Potable - Excelente","0.0373","Potable - Excelente","0.00955","Potable - Excelente","VERDE",""
"CAZEPA-5","POZO SAN FERNANDO 5","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.5385","25.50933","2012-2024","200.515","Alta","555","Buena para riego","378.7","Excelente para riego","Potable - Dulce","0.4707","Media","217.8635","Potable - Dura","<10","Buena calidad","0.82859","Potable - Excelente","0.01945","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","0.000115645","Potable - Excelente","<0.00154","Potable - Excelente","0.00715","Potable - Excelente","0.0214","Potable - Excelente","VERDE",""
"CAZEPA-7","POZO SAN FERNANDO 7","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","VILLA JUAREZ","POZO","-103.53713","25.50861","2012-2024","208.035","Alta","560","Buena para riego","377.8","Excelente para riego","Potable - Dulce","0.46","Media","221.7114","Potable - Dura","10","Buena calidad","1.177043","Potable - Excelente","0.020033333","Apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.00745","Potable - Excelente","VERDE",""
"CAZEPA-8","POZO EL BORDO","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.52094","25.52657","2012-2024","225.4","Alta","517","Buena para riego","325.2","Excelente para riego","Potable - Dulce","0.4326","Media","186","Potable - Dura","20.24845673","Buena calidad","4.118","Potable - Excelente","0.018333333","Apta como FAAP","<0.00130124","Potable - Excelente","0.00175","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.021105","Potable - Excelente","0.46595","Sin efectos en la salud - Puede dar color al agua","AMARILLO","FE, "
"CAZEPA-9","POZO VILLA JARDIN","CUENCAS CENTRALES DEL NORTE","DURANGO","LERDO","PRINCIPAL-REGION LAGUNERA","POZO","-103.51117","25.54824","2012-2024","203.2025","Alta","602.5","Buena para riego","402.3","Excelente para riego","Potable - Dulce","0.5126","Media","228.857","Potable - Dura","<10","Buena calidad","4.0477805","Potable - Excelente","0.0271","No apta como FAAP","<0.00130124","Potable - Excelente","<0.0012","Potable - Excelente","<0.0002012945","Potable - Excelente","<0.00154","Potable - Excelente","0.001755","Potable - Excelente","0.0065","Potable - Excelente","ROJO","AS, "
"DLAGU0001RNL","POZO PALO ALTO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.68233","22.041","2012-2024","28","Baja","373","Buena para riego","249","Excelente para riego","Potable - Dulce","<2","Alta","43.4","Potable - Suave","","","<0.052","Potable - Excelente","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU0007RNL","POZO JALTICHE DE ARRIBA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","CALVILLO","VALLE DE CALVILLO","POZO","-102.7875","21.7728","2012-2024","","","","","315","Excelente para riego","Potable - Dulce","1.84","Alta","88.8","Potable - Moderadamente suave","","","<0.052","Potable - Excelente","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU0037RNL","POZO MESILLAS","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","TEPEZALA","VALLE DE AGUASCALIENTES","POZO","-102.1744912","22.314556","2012-2024","","","","","353","Excelente para riego","Potable - Dulce","1.05","Potable - Óptima","161.8","Potable - Dura","","","0.41","Potable - Excelente","","","","","","","","","","","","","","","VERDE",""
"DLAGU0038RNL","POTABILIZADORA TEPEZALA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","TEPEZALA","VALLE DE AGUASCALIENTES","POZO","-102.164894","22.217471","2012-2024","","","","","539","Cultivos sensibles","Potable - Dulce","1.69","Alta","201.8","Potable - Dura","","","<0.052","Potable - Excelente","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU0042RNL","POZO PABELLÓN DE ARTEAGA","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","PABELLÓN DE ARTEAGA","VALLE DE AGUASCALIENTES","POZO","-102.2877","22.15007","2012-2024","249","Alta","428","Buena para riego","422","Excelente para riego","Potable - Dulce","1.87","Alta","184","Potable - Dura","","","","","","","","","","","","","","","","","","","ROJO","FLUO, "
"DLAGU19","POZO PASO BLANCO","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","JESÚS MARÍA","VALLE DE AGUASCALIENTES","POZO","-102.31557","21.97497","2012-2024","401.12","Indeseable como FAAP","876","Permisible para riego","593","Cultivos sensibles","Potable - Dulce","0.8363","Potable - Óptima","262.7897","Potable - Dura","6.26121887","Buena calidad","1.671","Potable - Excelente","0.004418333","Potable - Excelente","<0.00130104363636364","Potable - Excelente","0.003626364","Potable - Excelente","0.000201854","Potable - Excelente","<0.00154","Potable - Excelente","0.0479325","Potable - Excelente","0.087087273","Potable - Excelente","AMARILLO","ALC, "
"DLAGU1M1","POZO DE LA COMUNIDAD DE LOS DURON","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","EL LLANO","POZO","-102.12402","21.75181","2012-2024","347","Alta","865","Permisible para riego","496","Excelente para riego","Potable - Dulce","4.7648355","Alta","87","Potable - Moderadamente suave","9.684706931","Buena calidad","1.6011005","Potable - Excelente","<0.0015","Potable - Excelente","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.0002845","Potable - Excelente","<0.00154","Potable - Excelente","0.013804","Potable - Excelente","1.037595","Sin efectos en la salud - Puede dar color al agua","ROJO","FLUO, FE, "
"DLAGU2","POZO COMUNIDAD SANDOVALES","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","EL LLANO","EL LLANO","NORIA","-102.1124","21.8829","2012-2024","239.085","Alta","589.5","Buena para riego","372","Excelente para riego","Potable - Dulce","3.9449","Alta","131.3011","Potable - Dura","<23,5598741426563","Buena calidad","1.484678","Potable - Excelente","<0.0015","Potable - Excelente","<0.001301","Potable - Excelente","<0.0012","Potable - Excelente","0.000200975","Potable - Excelente","<0.00154","Potable - Excelente","0.000468","Potable - Excelente","0.009892","Potable - Excelente","ROJO","FLUO, "
"DLAGU3","PALO ALTO POZO Nº 2","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","EL LLANO","EL LLANO","POZO","-101.96439","21.9055","2012-2024","202.95","Alta","559.5","Buena para riego","405.6","Excelente para riego","Potable - Dulce","3.0675","Alta","121.9","Potable - Dura","5.897220775","Buena calidad","1.9255795","Potable - Excelente","0.004236364","Potable - Excelente","<0.001301048","Potable - Excelente","0.00131","Potable - Excelente","0.000246281","Potable - Excelente","<0.00154","Potable - Excelente","0.006636364","Potable - Excelente","0.018973636","Potable - Excelente","ROJO","FLUO, "
"DLAGU34","POZO TANQUE DE LOS JIMENEZ","LERMA SANTIAGO PACÍFICO","AGUASCALIENTES","AGUASCALIENTES","VALLE DE AGUASCALIENTES","POZO","-102.36716","21.7079","2012-2024","241.785","Alta","545.5","Buena para riego","404","Excelente para riego","Potable - Dulce","1.2368","Potable - Óptima","169.417","Potable - Dura","<23,5598741426563","Buena calidad","0.817284","Potable - Excelente","0.006216","Potable - Excelente","<0.001301","Potable - Excelente","0.002273333","Potable - Excelente","0.000200975","Potable - Excelente","<0.00154","Potable - Excelente","<0.00021","Potable - Excelente","0.021112","Potable - Excelente","VERDE",""
